vf,width,thickness,k11,k33,p,t,h
0.06019,0.08306,0.00131,0.42325,0.1933,1,0,0
0.85406,0.43681,0.88494,1.54998,0.50728,1,0,0
0.79581,0.41269,0.75219,1.4688,0.44043,1,0,0
0.53744,0.99344,0.82869,1.5632,0.50123,1,0,0
0.62806,0.15106,0.33856,0.89222,0.26076,1,0,0
0.61369,0.54044,0.01994,1.57772,0.27386,1,0,0
0.32719,0.48869,0.25431,1.06016,0.26092,1,0,0
0.02219,0.03694,0.11469,0.36864,0.19209,1,0,0
0.43581,0.13469,0.50331,0.71949,0.26129,1,0,0
0.30406,0.36419,0.78219,0.8542,0.33067,1,0,0
0.08719,0.81869,0.08256,0.95518,0.22888,1,0,0
0.46344,0.38294,0.02394,1.12455,0.23849,1,0,0
0.23556,0.54456,0.90144,0.91065,0.37212,1,0,0
0.74619,0.28281,0.07469,1.2575,0.25584,1,0,0
0.10044,0.74819,0.54044,0.88917,0.29857,1,0,0
0.53819,0.36044,0.74094,1.09937,0.36712,1,0,0
0.56106,0.02619,0.06269,0.64503,0.20955,1,0,0
0.82669,0.76081,0.21856,2.23612,0.37711,1,0,0
0.04044,0.69156,0.01969,0.81689,0.21671,1,0,0
0.40819,0.24731,0.33944,0.86672,0.25605,1,0,0
0.47794,0.85794,0.54244,1.58715,0.40162,1,0,0
0.79444,0.45656,0.02456,1.66108,0.28561,1,0,0
0.03456,0.50319,0.02744,0.68904,0.20918,1,0,0
0.95644,0.91356,0.22819,2.68759,0.43712,1,0,0
0.95931,0.37719,0.77244,1.59389,0.48097,1,0,0
0.85706,0.68631,0.67656,2.02612,0.52804,1,0,0
0.24844,0.73581,0.22194,1.16796,0.26449,1,0,0
0.45031,0.58719,0.63894,1.27738,0.3757,1,0,0
0.32669,0.38944,0.86706,0.89549,0.35368,1,0,0
0.08294,0.71294,0.81331,0.79377,0.33891,1,0,0
0.80894,0.18156,0.68969,1.00261,0.34173,1,0,0
0.80619,0.40894,0.20331,1.57577,0.30834,1,0,0
0.04106,0.51956,0.19169,0.70596,0.22078,1,0,0
0.69406,0.45781,0.55669,1.43861,0.3805,1,0,0
0.99231,0.02456,0.17919,0.86311,0.24289,1,0,0
0.02519,0.47169,0.32881,0.6324,0.22918,1,0,0
0.92631,0.20231,0.38706,1.16278,0.30852,1,0,0
0.37494,0.11094,0.59994,0.6468,0.26321,1,0,0
0.35769,0.57419,0.68394,1.13327,0.36347,1,0,0
0.19756,0.98856,0.97419,0.95184,0.42093,1,0,0
0.92481,0.14831,0.85294,1.03833,0.38956,1,0,0
0.81694,0.11931,0.05369,1.0087,0.23401,1,0,0
0.77981,0.84281,0.43769,2.18604,0.45,1,0,0
0.00381,0.47681,0.11056,0.61971,0.20837,1,0,0
0.62969,0.11456,0.24394,0.8484,0.24098,1,0,0
0.79919,0.23444,0.05981,1.22775,0.25316,1,0,0
0.01756,0.89981,0.97244,0.69053,0.35921,1,0,0
0.32556,0.59744,0.44044,1.14348,0.30704,1,0,0
0.42369,0.74106,0.92731,1.26223,0.46326,1,0,0
0.26356,0.68619,0.71681,1.08662,0.36814,1,0,0
0.51256,0.87856,0.91481,1.4658,0.51171,1,0,0
0.66044,0.90994,0.06394,2.12401,0.32221,1,0,0
0.85306,0.27831,0.12356,1.35991,0.27316,1,0,0
0.91194,0.27944,0.48256,1.37128,0.36211,1,0,0
0.43394,0.79431,0.57219,1.48534,0.3932,1,0,0
0.84319,0.21006,0.59344,1.13101,0.34921,1,0,0
0.38169,0.72406,0.81544,1.24021,0.42374,1,0,0
0.08906,0.40719,0.68081,0.6639,0.28084,1,0,0
0.68306,0.80556,0.88281,1.73052,0.54768,1,0,0
0.22006,0.07044,0.25656,0.48968,0.20844,1,0,0
0.35694,0.72894,0.94931,1.14608,0.44466,1,0,0
0.01331,0.03219,0.93444,0.34367,0.23792,1,0,0
0.10106,0.64394,0.25706,0.87341,0.24318,1,0,0
0.24031,0.44494,0.70619,0.85948,0.31847,1,0,0
0.24431,0.14456,0.71981,0.57898,0.26681,1,0,0
